game_id,date,season,team1,team2,team1_pts,team1_fg_pct,team1_3p_pct,team1_ft_pct,team1_reb,team1_ast,team1_stl,team1_blk,team1_tov,team1_pf,team1_plus_minus,team2_pts,team2_fg_pct,team2_3p_pct,team2_ft_pct,team2_reb,team2_ast,team2_stl,team2_blk,team2_tov,team2_pf,team2_plus_minus,pts_diff,fg_pct_diff,reb_diff,ast_diff,stl_diff,blk_diff,tov_diff,plus_minus_diff,team1_wins,team1_fgm,team1_fga,team1_fg3m,team1_fg3a,team1_ftm,team1_fta,team1_oreb,team1_dreb,team2_fgm,team2_fga,team2_fg3m,team2_fg3a,team2_ftm,team2_fta,team2_oreb,team2_dreb,team1_efficiency,team2_efficiency,efficiency_diff,team1_recent_win_rate,team2_recent_win_rate,recent_win_rate_diff
0012500008,2025-10-02,12025,NYK,PHI,99,0.385,0.205,0.656,58,19,13,2,17,26,15.0,84,0.346,0.086,0.844,46,17,8,5,20,24,-15.0,15,0.039000000000000035,12,2,5,-3,-3,30.0,1,35,91,8,39,21,32,20,38,27,78,3,35,27,32,10,36,0.8109436435124509,0.7494646680942184,0.06147897541823244,0.5,0.5,0.0
0012500001,2025-10-03,12025,PHX,LAL,103,0.422,0.317,0.538,50,29,9,5,16,31,22.0,81,0.311,0.171,0.784,46,10,9,7,22,25,-22.0,22,0.11099999999999999,4,19,0,-2,-6,44.0,1,38,90,13,41,14,26,10,40,23,74,6,35,29,37,11,35,0.8770435967302452,0.7214107588172426,0.15563283791300264,0.5,0.5,0.0
0012500028,2025-10-04,12025,DEN,MIN,116,0.547,0.393,0.821,37,27,9,4,15,22,-10.0,126,0.511,0.5,0.808,41,32,7,3,11,24,10.0,-10,0.03600000000000003,-4,-5,2,1,4,-20.0,0,41,75,11,28,23,28,7,30,45,88,15,30,21,26,13,28,1.1227255129694156,1.1408909815284318,-0.01816546855901624,0.5,0.5,0.0
0012500027,2025-10-04,12025,MIA,ORL,118,0.447,0.483,0.737,40,27,10,5,18,27,-8.0,126,0.459,0.333,0.742,58,21,10,9,18,29,8.0,-8,-0.01200000000000001,-18,6,0,-4,0,-16.0,0,38,85,14,29,28,38,12,28,45,98,13,39,23,31,22,36,0.9856331440026729,0.9644825474586651,0.02115059654400775,0.5,0.5,0.0
0012500010,2025-10-04,12025,NYK,PHI,113,0.442,0.333,0.758,43,21,10,4,14,24,9.0,104,0.443,0.364,0.71,41,22,11,6,19,24,-9.0,9,-0.0010000000000000009,2,-1,-1,-2,-5,18.0,1,38,86,12,36,25,33,11,32,35,79,12,33,22,31,9,32,0.9867272092210968,0.9232954545454546,0.06343175467564222,1.0,0.0,1.0
0012500030,2025-10-05,12025,GSW,LAL,111,0.464,0.395,0.762,44,35,11,7,18,24,8.0,103,0.417,0.353,0.778,43,25,7,5,18,20,-8.0,8,0.04700000000000004,1,10,4,2,0,16.0,1,39,84,17,43,16,21,8,36,35,84,12,34,21,27,12,31,0.9716386554621849,0.8965877437325905,0.07505091172959433,0.5,0.0,0.5
0012500029,2025-10-05,12025,CHA,OKC,114,0.394,0.294,0.833,47,23,8,4,17,14,-21.0,135,0.532,0.408,0.789,44,33,11,2,14,24,21.0,-21,-0.138,3,-10,-3,2,3,-42.0,0,37,94,15,51,25,30,14,33,50,94,20,49,15,19,8,36,0.9178743961352657,1.1405880364988172,-0.22271364036355157,0.5,0.5,0.0
0012500031,2025-10-06,12025,DET,MEM,128,0.533,0.359,0.621,55,29,13,7,22,27,16.0,112,0.409,0.408,0.69,38,21,13,7,18,27,-16.0,16,0.12400000000000005,17,8,0,0,4,32.0,1,48,90,14,39,18,29,16,39,36,88,20,49,20,29,13,25,1.0178117048346056,0.9352037408149633,0.08260796401964232,0.5,0.5,0.0
0012500034,2025-10-06,12025,TOR,DEN,108,0.412,0.238,0.667,38,26,17,0,11,31,-4.0,112,0.567,0.379,0.714,48,22,8,6,31,22,4.0,-4,-0.15499999999999997,-10,4,9,-6,-20,-8.0,0,40,97,10,42,18,27,15,23,38,67,11,29,25,35,8,40,0.8934480476505626,0.9876543209876543,-0.09420627333709164,0.5,0.0,0.5
0012500032,2025-10-06,12025,SAS,GUA,119,0.538,0.395,0.75,52,31,14,8,23,24,31.0,88,0.377,0.324,0.792,30,19,12,2,20,18,-31.0,31,0.16100000000000003,22,12,2,6,3,62.0,1,43,80,15,38,18,24,15,37,29,77,11,34,19,24,10,20,1.0479041916167664,0.8106116433308769,0.23729254828588953,0.5,0.5,0.0
0012500014,2025-10-06,12025,ATL,HOU,113,0.44,0.306,0.667,34,32,14,5,13,26,-9.0,122,0.481,0.412,0.857,53,24,6,6,19,17,9.0,-9,-0.04099999999999998,-19,8,8,-1,-6,-18.0,0,39,90,14,48,18,27,10,24,38,80,14,34,30,35,12,41,0.9751467034863652,1.0481099656357389,-0.07296326214937365,0.5,0.5,0.0
0012500033,2025-10-06,12025,OKC,DAL,89,0.309,0.275,0.75,43,18,14,5,14,25,-17.0,106,0.42,0.314,0.9,58,26,5,12,21,20,17.0,-17,-0.11099999999999999,-15,-8,9,-7,-7,-34.0,0,30,97,14,51,15,20,14,29,34,81,11,35,27,30,11,47,0.7307060755336617,0.9044368600682594,-0.17373078453459767,1.0,0.5,0.5
0012500002,2025-10-06,12025,MIL,MIA,103,0.414,0.317,0.692,43,24,15,5,15,23,10.0,93,0.388,0.286,0.679,60,25,8,4,23,19,-10.0,10,0.025999999999999968,-17,-1,7,1,-8,20.0,1,36,87,13,41,18,26,3,40,33,85,8,28,19,28,10,50,0.907968970380818,0.772938829787234,0.13503014059358398,0.5,0.0,0.5
0012500036,2025-10-07,12025,IND,MIN,135,0.479,0.435,0.806,50,32,12,7,24,33,1.0,134,0.478,0.472,0.756,41,26,14,5,20,26,-1.0,1,0.0010000000000000009,9,6,-2,2,4,2.0,1,45,94,20,46,25,31,17,33,43,90,17,36,31,41,11,30,1.025524156791249,1.0384376937383757,-0.012913536947126714,0.5,1.0,-0.5
0012500035,2025-10-07,12025,CLE,CHI,117,0.468,0.366,0.583,32,27,19,3,15,24,-1.0,118,0.519,0.325,0.724,51,31,9,4,26,22,1.0,-1,-0.05099999999999999,-19,-4,10,-1,-11,-2.0,0,44,94,15,41,14,24,9,23,42,81,13,40,21,29,15,36,0.978588156574105,0.9853039412157648,-0.006715784641659783,0.5,0.5,0.0
